route_id,origin,destination,from_station_id,from_station_name,to_station_id,to_station_name,distance_between_miles,cumulative_dist_miles,ObjectId
Green E,Heath Street,Lechmere,place-coecl,Copley,place-armnl,Arlington,0.363,2.915,109
Green E,Heath Street,Lechmere,place-armnl,Arlington,place-boyls,Boylston,0.325,3.24,110
Green E,Heath Street,Lechmere,place-boyls,Boylston,place-pktrm,Park Street,0.303,3.543,111
Green E,Heath Street,Lechmere,place-pktrm,Park Street,place-gover,Government Center,0.257,3.8,112
Green E,Heath Street,Lechmere,place-gover,Government Center,place-haecl,Haymarket,0.275,4.075,113
Green E,Heath Street,Lechmere,place-haecl,Haymarket,place-north,North Station,0.22,4.295,114
Green E,Heath Street,Lechmere,place-north,North Station,place-spmnl,Science Park,0.543,4.838,115
Green E,Heath Street,Lechmere,place-spmnl,Science Park,place-lech,Lechmere,0.447,5.285,116
Orange,Forest Hills,Oak Grove,place-forhl,Forest Hills,place-grnst,Green Street,0.69,0.69,117
Orange,Forest Hills,Oak Grove,place-grnst,Green Street,place-sbmnl,Stony Brook,0.51,1.2,118
Orange,Forest Hills,Oak Grove,place-sbmnl,Stony Brook,place-jaksn,Jackson Square,0.51,1.71,119
Orange,Forest Hills,Oak Grove,place-jaksn,Jackson Square,place-rcmnl,Roxbury Crossing,0.55,2.26,120
Orange,Forest Hills,Oak Grove,place-rcmnl,Roxbury Crossing,place-rugg,Ruggles,0.52,2.78,121
Orange,Forest Hills,Oak Grove,place-rugg,Ruggles,place-masta,Massachusetts Ave.,0.41,3.19,122
Orange,Forest Hills,Oak Grove,place-masta,Massachusetts Ave.,place-bbsta,Back Bay,0.69,3.88,123
Orange,Forest Hills,Oak Grove,place-bbsta,Back Bay,place-tumnl,Tufts Medical Center,0.55,4.43,124
Orange,Forest Hills,Oak Grove,place-tumnl,Tufts Medical Center,place-chncl,Chinatown,0.27,4.7,125
Orange,Forest Hills,Oak Grove,place-chncl,Chinatown,place-dwnxg,Downtown Crossing,0.25,4.95,126
Orange,Forest Hills,Oak Grove,place-dwnxg,Downtown Crossing,place-state,State Street,0.25,5.2,127
Orange,Forest Hills,Oak Grove,place-state,State Street,place-haecl,Haymarket,0.22,5.42,128
Orange,Forest Hills,Oak Grove,place-haecl,Haymarket,place-north,North Station,0.27,5.69,129
Orange,Forest Hills,Oak Grove,place-north,North Station,place-ccmnl,Community College,0.81,6.5,130
Orange,Forest Hills,Oak Grove,place-ccmnl,Community College,place-sull,Sullivan Square,0.83,7.33,131
Orange,Forest Hills,Oak Grove,place-sull,Sullivan Square,place-welln,Wellington,1.19,8.52,132
Orange,Forest Hills,Oak Grove,place-welln,Wellington,place-mlmnl,Malden Center,1.75,10.27,133
Orange,Forest Hills,Oak Grove,place-mlmnl,Malden Center,place-ogmnl,Oak Grove,0.83,11.1,134
Orange,Oak Grove,Forest Hills,place-ogmnl,Oak Grove,place-mlmnl,Malden Center,0.83,0.83,135
Orange,Oak Grove,Forest Hills,place-mlmnl,Malden Center,place-welln,Wellington,1.75,2.58,136
Orange,Oak Grove,Forest Hills,place-welln,Wellington,place-sull,Sullivan Square,1.19,3.77,137
Orange,Oak Grove,Forest Hills,place-sull,Sullivan Square,place-ccmnl,Community College,0.83,4.6,138
Orange,Oak Grove,Forest Hills,place-ccmnl,Community College,place-north,North Station,0.81,5.41,139
Orange,Oak Grove,Forest Hills,place-north,North Station,place-haecl,Haymarket,0.27,5.68,140
Orange,Oak Grove,Forest Hills,place-haecl,Haymarket,place-state,State Street,0.35,6.03,141
Orange,Oak Grove,Forest Hills,place-state,State Street,place-dwnxg,Downtown Crossing,0.18,6.21,142
Orange,Oak Grove,Forest Hills,place-dwnxg,Downtown Crossing,place-chncl,Chinatown,0.25,6.46,143
Orange,Oak Grove,Forest Hills,place-chncl,Chinatown,place-tumnl,Tufts Medical Center,0.27,6.73,144
Orange,Oak Grove,Forest Hills,place-tumnl,Tufts Medical Center,place-bbsta,Back Bay,0.55,7.28,145
Orange,Oak Grove,Forest Hills,place-bbsta,Back Bay,place-masta,Massachusetts Ave.,0.69,7.97,146
Orange,Oak Grove,Forest Hills,place-masta,Massachusetts Ave.,place-rugg,Ruggles,0.41,8.38,147
Orange,Oak Grove,Forest Hills,place-rugg,Ruggles,place-rcmnl,Roxbury Crossing,0.52,8.9,148
Orange,Oak Grove,Forest Hills,place-rcmnl,Roxbury Crossing,place-jaksn,Jackson Square,0.55,9.45,149
Orange,Oak Grove,Forest Hills,place-jaksn,Jackson Square,place-sbmnl,Stony Brook,0.51,9.96,150
Orange,Oak Grove,Forest Hills,place-sbmnl,Stony Brook,place-grnst,Green Street,0.51,10.47,151
Orange,Oak Grove,Forest Hills,place-grnst,Green Street,place-forhl,Forest Hills,0.69,11.16,152
Blue,Wonderland,Bowdoin,place-wondl,Wonderland,place-rbmnl,Revere Beach,0.4,0.4,153
Blue,Wonderland,Bowdoin,place-rbmnl,Revere Beach,place-bmmnl,Beachmont,0.73,1.13,154
Blue,Wonderland,Bowdoin,place-bmmnl,Beachmont,place-sdmnl,Suffolk Downs,0.57,1.7,155
Blue,Wonderland,Bowdoin,place-sdmnl,Suffolk Downs,place-orhte,Orient Heights,0.44,2.14,156
Blue,Wonderland,Bowdoin,place-orhte,Orient Heights,place-wimnl,Wood Island,1.08,3.22,157
Blue,Wonderland,Bowdoin,place-wimnl,Wood Island,place-aport,Airport,0.63,3.85,158
Blue,Wonderland,Bowdoin,place-aport,Airport,place-mvbcl,Maverick,0.57,4.42,159
Blue,Wonderland,Bowdoin,place-mvbcl,Maverick,place-aqucl,Aquarium,0.9,5.32,160
Blue,Wonderland,Bowdoin,place-aqucl,Aquarium,place-state,State Street,0.28,5.6,161
Blue,Wonderland,Bowdoin,place-state,State Street,place-gover,Government Center,0.17,5.77,162
Blue,Wonderland,Bowdoin,place-gover,Government Center,place-bomnl,Bowdoin,0.17,5.94,163
Blue,Bowdoin,Wonderland,place-bomnl,Bowdoin,place-gover,Government Center,0.15,0.15,164
Blue,Bowdoin,Wonderland,place-gover,Government Center,place-state,State Street,0.18,0.33,165
Blue,Bowdoin,Wonderland,place-state,State Street,place-aqucl,Aquarium,0.28,0.61,166
Blue,Bowdoin,Wonderland,place-aqucl,Aquarium,place-mvbcl,Maverick,0.9,1.51,167
Blue,Bowdoin,Wonderland,place-mvbcl,Maverick,place-aport,Airport,0.57,2.08,168
Blue,Bowdoin,Wonderland,place-aport,Airport,place-wimnl,Wood Island,0.63,2.71,169
Blue,Bowdoin,Wonderland,place-wimnl,Wood Island,place-orhte,Orient Heights,1.08,3.79,170
Blue,Bowdoin,Wonderland,place-orhte,Orient Heights,place-sdmnl,Suffolk Downs,0.47,4.26,171
Blue,Bowdoin,Wonderland,place-sdmnl,Suffolk Downs,place-bmmnl,Beachmont,0.54,4.8,172
Blue,Bowdoin,Wonderland,place-bmmnl,Beachmont,place-rbmnl,Revere Beach,0.73,5.53,173
Blue,Bowdoin,Wonderland,place-rbmnl,Revere Beach,place-wondl,Wonderland,0.4,5.93,174
Red,Ashmont,Alewife,place-dwnxg,Downtown Crossing,place-pktrm,Park Street,0.23,5.81,175
Red,Ashmont,Alewife,place-pktrm,Park Street,place-chmnl,Charles/MGH,0.56,6.37,176
Red,Ashmont,Alewife,place-chmnl,Charles/MGH,place-knncl,Kendall/MIT,0.71,7.08,177
Red,Ashmont,Alewife,place-knncl,Kendall/MIT,place-cntsq,Central,0.95,8.03,178
Red,Ashmont,Alewife,place-cntsq,Central,place-harsq,Harvard,1.07,9.1,179
Red,Ashmont,Alewife,place-harsq,Harvard,place-portr,Porter,0.99,10.09,180
Red,Ashmont,Alewife,place-portr,Porter,place-davis,Davis,0.66,10.75,181
Red,Ashmont,Alewife,place-davis,Davis,place-alfcl,Alewife,0.96,11.71,182
Mattapan,Ashmont,Mattapan,place-asmnl,Ashmont,place-cedgr,Cedar Grove,0.38,0.38,183
Mattapan,Ashmont,Mattapan,place-cedgr,Cedar Grove,place-butlr,Butler,0.57,0.95,184
Mattapan,Ashmont,Mattapan,place-butlr,Butler,place-miltt,Milton,0.29,1.24,185
Mattapan,Ashmont,Mattapan,place-miltt,Milton,place-cenav,Central Ave.,0.31,1.55,186
Mattapan,Ashmont,Mattapan,place-cenav,Central Ave.,place-valrd,Valley Road,0.44,1.99,187
Mattapan,Ashmont,Mattapan,place-valrd,Valley Road,place-capst,Capen Street,0.3,2.29,188
Mattapan,Ashmont,Mattapan,place-capst,Capen Street,place-matt,Mattapan,0.26,2.55,189
Mattapan,Mattapan,Ashmont,place-matt,Mattapan,place-capst,Capen Street,0.25,2.8,190
Mattapan,Mattapan,Ashmont,place-capst,Capen Street,place-valrd,Valley Road,0.31,3.11,191
Mattapan,Mattapan,Ashmont,place-valrd,Valley Road,place-cenav,Central Ave.,0.43,3.54,192
Mattapan,Mattapan,Ashmont,place-cenav,Central Ave.,place-miltt,Milton,0.42,3.96,193
Mattapan,Mattapan,Ashmont,place-miltt,Milton,place-butlr,Butler,0.29,4.25,194
Mattapan,Mattapan,Ashmont,place-butlr,Butler,place-cedgr,Cedar Grove,0.57,4.82,195
Mattapan,Mattapan,Ashmont,place-cedgr,Cedar Grove,place-asmnl,Ashmont,0.38,5.2,196
Green B,Government Center,Boston College,place-gover,Government Center,place-pktrm,Park Street,0.253,0.253,197
Green B,Government Center,Boston College,place-pktrm,Park Street,place-boyls,Boylston,0.263,0.516,198
Green B,Government Center,Boston College,place-boyls,Boylston,place-armnl,Arlington,0.355,0.871,199
Green B,Government Center,Boston College,place-armnl,Arlington,place-coecl,Copley,0.362,1.233,200
Green B,Government Center,Boston College,place-coecl,Copley,place-hymnl,Hynes Convention Center,0.565,1.798,201
Green B,Government Center,Boston College,place-hymnl,Hynes Convention Center,place-kencl,Kenmore,0.343,2.141,202
Green B,Government Center,Boston College,place-kencl,Kenmore,place-bland,Blandford Street,0.317,2.458,203
Green B,Government Center,Boston College,place-bland,Blandford Street,place-brico,Packards Corner,1.286,3.744,204
Green B,Government Center,Boston College,place-brico,Packards Corner,place-chill,Chestnut Hill Ave.,1.946,5.69,205
Green B,Government Center,Boston College,place-chill,Chestnut Hill Ave.,place-lake,Boston College,0.724,6.414,206
Green B,Boston College,Government Center,place-lake,Boston College,place-chill,Chestnut Hill Ave.,0.768,0.768,207
Green B,Boston College,Government Center,place-chill,Chestnut Hill Ave.,place-brico,Packards Corner,1.947,2.715,208
Green B,Boston College,Government Center,place-brico,Packards Corner,place-bland,Blandford Street,1.273,3.988,209
Green B,Boston College,Government Center,place-bland,Blandford Street,place-kencl,Kenmore,0.264,4.252,210
Green B,Boston College,Government Center,place-kencl,Kenmore,place-hymnl,Hynes Convention Center,0.362,4.614,211
Green B,Boston College,Government Center,place-hymnl,Hynes Convention Center,place-coecl,Copley,0.565,5.179,212
Green B,Boston College,Government Center,place-coecl,Copley,place-armnl,Arlington,0.363,5.542,213
Green B,Boston College,Government Center,place-armnl,Arlington,place-boyls,Boylston,0.325,5.867,214
Green B,Boston College,Government Center,place-boyls,Boylston,place-pktrm,Park Street,0.303,6.17,215
Green B,Boston College,Government Center,place-pktrm,Park Street,place-gover,Government Center,0.249,6.419,216
Green C,North Station,Cleveland Circle,place-north,North Station,place-haecl,Haymarket,0.219,0.219,217
Green C,North Station,Cleveland Circle,place-haecl,Haymarket,place-gover,Government Center,0.279,0.498,218
Green C,North Station,Cleveland Circle,place-gover,Government Center,place-pktrm,Park Street,0.253,0.751,219
Green C,North Station,Cleveland Circle,place-pktrm,Park Street,place-boyls,Boylston,0.263,1.014,220
Green C,North Station,Cleveland Circle,place-boyls,Boylston,place-armnl,Arlington,0.355,1.369,221
Green C,North Station,Cleveland Circle,place-armnl,Arlington,place-coecl,Copley,0.362,1.731,222
Green C,North Station,Cleveland Circle,place-coecl,Copley,place-hymnl,Hynes Convention Center,0.565,2.296,223
Green C,North Station,Cleveland Circle,place-hymnl,Hynes Convention Center,place-kencl,Kenmore,0.343,2.639,224
Green C,North Station,Cleveland Circle,place-kencl,Kenmore,,Beacon Junction,0.141,2.78,225
Green C,North Station,Cleveland Circle,,Beacon Junction,place-smary,Saint Mary Street,0.571,3.351,226
Green C,North Station,Cleveland Circle,place-smary,Saint Mary Street,place-cool,Coolidge Corner,0.756,4.107,227
Green C,North Station,Cleveland Circle,place-cool,Coolidge Corner,place-bcnwa,Washington Square,0.757,4.864,228
Green C,North Station,Cleveland Circle,place-bcnwa,Washington Square,place-clmnl,Cleveland Circle,0.755,5.619,229
Green C,Cleveland Circle,North Station,place-clmnl,Cleveland Circle,place-bcnwa,Washington Square,0.763,0.763,230
Green C,Cleveland Circle,North Station,place-bcnwa,Washington Square,place-cool,Coolidge Corner,0.749,1.512,231
Green C,Cleveland Circle,North Station,place-cool,Coolidge Corner,place-smary,Saint Mary Street,0.756,2.268,232
1 Bus,Nubian,Harvard,place-masta,Massachusetts Ave.,place-symcl,Symphony,0.1,,233
1 Bus,Harvard,Nubian,place-symcl,Symphony,place-masta,Massachusetts Ave.,0.1,,234
1 Bus,Nubian,Harvard,place-symcl,Symphony,place-hymnl,Hynes Convention Center,0.4,,235
1 Bus,Harvard,Nubian,place-hymnl,Hynes Convention Center,place-symcl,Symphony,0.4,,236
1 Bus,Nubian,Harvard,place-symcl,Symphony,place-cntsq,Central,1.4,,237
1 Bus,Harvard,Nubian,place-cntsq,Central,place-symcl,Symphony,1.4,,238
1 Bus,Nubian,Harvard,place-cntsq,Central,place-harsq,Harvard,1,,239
1 Bus,Harvard,Nubian,place-harsq,Harvard,place-cntsq,Central,1,,240
47 Bus,Harvard,Nubian,place-brdwy,Broadway,place-rugg,Ruggles,2.6,,241
47 Bus,Nubian,Harvard,place-rugg,Ruggles,place-brdwy,Broadway,2.6,,242
47 Bus,Harvard,Nubian,place-rugg,Ruggles,place-fenwy,Fenway,1.2,,243
47 Bus,Nubian,Harvard,place-fenwy,Fenway,place-rugg,Ruggles,1.2,,244
47 Bus,Harvard,Nubian,place-fenwy,Fenway,place-cntsq,Central,1.8,,245
47 Bus,Nubian,Harvard,place-cntsq,Central,place-fenwy,Fenway,1.8,,246
66 Bus,Nubian,Harvard,place-brmnl,Brigham Circle,place-cool,Coolidge Corner,2,,247
66 Bus,Harvard,Nubian,place-cool,Coolidge Corner,place-brmnl,Brigham Circle,2,,248
66 Bus,Nubian,Harvard,place-cool,Coolidge Corner,place-harsq,Harvard,3.1,,249
66 Bus,Harvard,Nubian,place-harsq,Harvard,place-cool,Coolidge Corner,3.1,,250
